time ax ay az
1 -0.0253 0.6364 -0.0129
2 -0.0173 0.6435 -0.0159
3 -0.0192 0.6386 -0.0186
4 -0.0187 0.6398 -0.0125
5 -0.0224 0.6415 -0.0164
6 -0.0231 0.6345 -0.0095
7 -0.0204 0.6389 -0.0125
8 -0.0217 0.6440 -0.0120
9 -0.0222 0.6413 -0.0154
10 -0.0217 0.6318 -0.0015
11 -0.0222 0.6376 -0.0095
12 -0.0239 0.6454 -0.0161
13 -0.0217 0.6398 -0.0122
14 -0.0212 0.6408 -0.0137
15 -0.0258 0.6396 -0.0107
16 -0.0190 0.6425 -0.0137
17 -0.0209 0.6413 -0.0132
18 -0.0258 0.6376 -0.0139
19 -0.0256 0.6506 -0.0073
20 -0.0214 0.6398 -0.0159
21 -0.0170 0.6374 -0.0149
22 -0.0214 0.6425 -0.0076
23 -0.0192 0.6425 -0.0093
24 -0.0185 0.6349 -0.0125
25 -0.0222 0.6447 -0.0193
26 -0.0261 0.6376 -0.0103
27 -0.0175 0.6406 -0.0110
28 -0.0207 0.6437 -0.0205
29 -0.0224 0.6447 -0.0208
30 -0.0214 0.6369 -0.0178
31 -0.0246 0.6415 -0.0120
32 -0.0182 0.6411 -0.0142
33 -0.0146 0.6315 -0.0022
34 -0.0209 0.6347 -0.0107
35 -0.0270 0.6403 -0.0234
36 -0.0187 0.6396 -0.0134
37 -0.0353 0.6611 -0.0583
38 -0.0768 0.7143 -0.0007
39 -0.0158 0.5842 -0.0193
40 0.0132 0.7473 0.0261
41 -0.0800 0.6313 0.0022
42 0.0377 0.5849 -0.4097
43 0.0447 0.5197 -0.1069
44 0.1138 0.5266 -0.0576
45 0.0960 0.6103 -0.1816
46 0.1636 0.5615 -0.0835
47 0.2357 0.5649 -0.0679
48 0.2388 0.5317 0.1667
49 0.4481 0.5312 0.1438
50 0.4439 0.4777 0.3401
51 0.6104 0.5864 0.2051
52 0.5054 0.5475 0.3215
53 0.7276 0.6000 0.3367
54 0.7747 0.6152 0.4106
55 0.8123 0.5761 0.5168
56 0.8152 0.5695 0.5906
57 0.9415 0.6035 0.6172
58 0.8287 0.6633 0.8103
59 0.9942 0.7807 0.6865
60 0.9083 0.5419 1.0549
61 1.0330 0.6725 1.0720
62 1.0037 0.4208 1.2556
63 0.9869 0.5187 1.1516
64 0.9827 0.4814 1.0388
65 0.9481 0.4606 1.0076
66 1.0140 0.5639 0.9749
67 1.0179 0.4968 0.9724
68 1.0262 0.5541 1.0186
69 1.0352 0.5737 1.0327
70 1.0296 0.4797 1.0310
71 1.0286 0.4697 1.0093
72 0.9686 0.4531 1.0122
73 1.0352 0.5295 0.9822
74 1.0247 0.5327 0.9473
75 1.0267 0.4543 0.9929
76 0.9991 0.5478 0.9448
77 1.0215 0.4760 0.9729
78 0.9815 0.4860 1.0012
79 0.9737 0.5109 1.0073
80 1.0025 0.4755 0.9617
81 1.0150 0.5239 0.9741
82 1.0003 0.4951 1.0049
83 1.0535 0.4792 0.9631
84 1.0311 0.5290 0.9717
85 1.0394 0.4655 0.9822
86 1.0201 0.4804 0.9775
87 1.0020 0.5158 0.9524
88 0.9981 0.4841 0.9609
89 1.0106 0.4824 0.9924
90 1.0062 0.5141 0.9626
91 0.9974 0.4982 0.9924
92 1.0150 0.4711 0.9937
93 1.0084 0.4995 0.9851
94 1.0008 0.4665 0.9846
95 1.0076 0.4885 0.9897
96 0.9986 0.4931 0.9722
97 1.0084 0.4992 0.9617
98 1.0193 0.4750 0.9905
99 1.0596 0.4501 1.0083
100 1.1011 0.4863 1.0923
