time ax ay az
1 -0.0212 0.3316 -0.0168
2 -0.0246 0.3297 -0.0212
3 -0.0295 0.3262 -0.0254
4 -0.0207 0.3323 -0.0164
5 -0.0236 0.3292 -0.0088
6 -0.0212 0.3306 -0.0188
7 -0.0231 0.3265 -0.0146
8 -0.0253 0.3284 -0.0115
9 -0.0268 0.3318 -0.0210
10 -0.0229 0.3326 -0.0061
11 -0.0253 0.3289 -0.0173
12 -0.0268 0.3292 -0.0156
13 -0.0202 0.3299 -0.0181
14 -0.0273 0.3267 -0.0176
15 -0.0248 0.3292 -0.0132
16 -0.0244 0.3297 -0.0129
17 -0.0305 0.3289 -0.0166
18 -0.0253 0.3287 -0.0154
19 -0.0244 0.3316 -0.0159
20 -0.0251 0.3262 -0.0215
21 -0.0266 0.3297 -0.0107
22 -0.0268 0.3318 -0.0117
23 -0.0219 0.3262 -0.0195
24 -0.0256 0.3277 -0.0181
25 -0.0207 0.3333 -0.0149
26 -0.0292 0.3333 -0.0129
27 -0.0226 0.3284 -0.0203
28 -0.0270 0.3282 -0.0186
29 -0.0273 0.3316 -0.0129
30 -0.0222 0.3277 -0.0154
31 -0.0187 0.3345 -0.0181
32 -0.0256 0.3287 -0.0156
33 -0.0231 0.3201 -0.0024
34 -0.0334 0.3272 -0.0195
35 -0.0046 0.3240 -0.0193
36 -0.0292 0.3130 -0.0100
37 -0.0261 0.3214 -0.0154
38 -0.0234 0.3167 -0.0149
39 -0.0292 0.3211 -0.0322
40 -0.0251 0.3206 -0.0149
41 -0.0295 0.3218 -0.0168
42 -0.0168 0.3214 -0.0205
43 -0.0192 0.3235 -0.0159
44 -0.0251 0.3192 -0.0090
45 -0.0263 0.3272 -0.0364
46 -0.0173 0.3882 -0.0308
47 -0.0134 0.3804 0.0095
48 -0.0195 0.4097 -0.0142
49 -0.0161 0.4515 -0.0125
50 -0.0073 0.4239 -0.0415
51 -0.0366 0.2733 0.0020
52 -0.0200 0.3492 0.0330
53 -0.0258 0.2464 0.0266
54 -0.0434 0.3414 0.0181
55 -0.0214 0.2786 0.0095
56 -0.0776 0.1758 -0.0579
57 -0.0322 0.3008 0.0039
58 -0.0117 0.3484 -0.0435
59 -0.0200 0.3665 -0.0559
60 0.0152 0.2579 0.0059
61 -0.0436 0.2711 0.0042
62 -0.0168 0.3240 -0.0225
63 -0.0309 0.2579 -0.0039
64 -0.0180 0.3116 -0.0051
65 -0.0290 0.4012 -0.0300
66 0.0018 0.3524 -0.0073
67 -0.1445 -0.1120 -0.1958
68 -0.0207 0.3233 -0.0081
69 -0.0275 0.3214 -0.0129
70 -0.0214 0.3233 -0.0188
71 -0.0268 0.3204 -0.0115
72 -0.0266 0.3211 -0.0173
73 -0.0285 0.3214 -0.0105
74 -0.0251 0.3174 -0.0144
75 -0.0244 0.3189 -0.0149
76 -0.0253 0.3275 -0.0105
77 -0.0305 0.3201 -0.0188
78 -0.0266 0.3211 -0.0156
79 -0.0285 0.3231 -0.0142
80 -0.0258 0.3194 -0.0156
81 -0.0207 0.3216 -0.0178
82 -0.0246 0.3206 -0.0125
83 -0.0253 0.3192 -0.0178
84 -0.0287 0.3216 -0.0139
85 -0.0246 0.3231 -0.0164
86 -0.0239 0.3216 -0.0095
87 -0.0261 0.3194 -0.0164
88 -0.0261 0.3204 -0.0212
89 -0.0219 0.3221 -0.0122
90 -0.0266 0.3214 -0.0146
91 -0.0266 0.3187 -0.0081
92 -0.0241 0.3214 -0.0125
93 -0.0209 0.3245 -0.0144
94 -0.0270 0.3187 -0.0139
95 -0.0290 0.3214 -0.0195
96 -0.0248 0.3248 -0.0146
97 -0.0285 0.3165 -0.0164
98 -0.0251 0.3206 -0.0173
99 -0.0251 0.3223 -0.0215
100 -0.0292 0.3231 -0.0156
101 -0.0258 0.3221 -0.0200
102 -0.0273 0.3226 -0.0208
103 -0.0292 0.3221 -0.0125
104 -0.0266 0.3260 -0.0132
105 -0.0290 0.3194 -0.0181
106 -0.0256 0.3189 -0.0132
107 -0.0263 0.3162 -0.0242
108 -0.0268 0.3211 -0.0149
109 -0.0290 0.3235 -0.0164
110 -0.0256 0.3221 -0.0107
111 -0.0290 0.3162 -0.0132
112 -0.0275 0.3216 -0.0188
113 -0.0239 0.3257 -0.0134
114 -0.0302 0.3204 -0.0156
115 -0.0312 0.3189 -0.0190
116 -0.0239 0.3214 -0.0159
117 -0.0251 0.3255 -0.0173
118 -0.0075 0.2510 -0.0122
119 -0.0180 0.1927 -0.0120
120 -0.0266 0.1414 -0.0173
121 -0.0427 0.2969 -0.0647
122 -0.0336 0.3160 -0.0112
123 -0.0429 0.2737 -0.0012
124 -0.0434 0.2532 0.0127
125 -0.0124 0.3712 0.0061
126 -0.0546 0.2249 0.0007
127 -0.0134 0.3809 -0.0554
128 -0.0053 0.4842 -0.0137
129 -0.0685 0.3550 -0.0286
130 -0.0307 0.3426 -0.0173
131 -0.0097 0.3226 0.0144
132 -0.0512 0.4236 -0.0447
133 -0.0385 0.3377 -0.0808
134 -0.0453 0.2933 -0.0127
135 -0.0268 0.3672 0.0144
136 -0.0263 0.3184 -0.0205
137 -0.0275 0.3179 -0.0212
138 -0.0280 0.3184 -0.0142
139 -0.0241 0.3226 -0.0205
140 -0.0295 0.3179 -0.0132
141 -0.0278 0.3206 -0.0176
142 -0.0268 0.3228 -0.0212
143 -0.0275 0.3192 -0.0137
144 -0.0317 0.3211 -0.0132
145 -0.0241 0.3262 -0.0137
146 -0.0285 0.3240 -0.0188
147 -0.0373 0.3511 -0.0747
148 -0.0273 0.3233 -0.0139
149 -0.0239 0.3104 -0.0029
150 -0.0295 0.3167 -0.0137
151 -0.0268 0.3216 -0.0125
152 -0.0268 0.3192 -0.0107
153 -0.0290 0.3172 -0.0154
154 -0.0224 0.3209 -0.0144
155 -0.0275 0.3209 -0.0083
156 -0.0236 0.3184 -0.0173
157 -0.0302 0.3214 -0.0105
158 -0.0278 0.3226 -0.0181
159 -0.0302 0.3184 -0.0164
160 -0.0295 0.3218 -0.0127
161 -0.0275 0.3182 -0.0186
162 -0.0268 0.3182 -0.0156
163 -0.0280 0.3152 -0.0134
164 -0.0295 0.3218 -0.0195
165 -0.0275 0.3167 -0.0190
166 -0.0258 0.3240 -0.0151
167 -0.0231 0.3167 -0.0149
168 -0.0266 0.3182 -0.0125
169 -0.0251 0.3160 -0.0100
170 -0.0292 0.3218 -0.0149
171 -0.0214 0.3170 -0.0132
172 -0.0275 0.3194 -0.0125
173 -0.0263 0.3170 -0.0073
174 -0.0280 0.3243 -0.0088
175 -0.0241 0.3182 -0.0117
176 -0.0292 0.3170 -0.0149
177 -0.0239 0.3201 -0.0144
178 -0.0273 0.3897 -0.0852
179 -0.0229 0.3282 -0.0090
180 -0.0275 0.3233 -0.0110
181 -0.0290 0.3255 -0.0166
182 -0.0246 0.3287 -0.0144
183 -0.0246 0.3292 -0.0076
184 -0.0263 0.3299 -0.0183
185 -0.0268 0.3289 -0.0142
186 -0.0280 0.3292 -0.0071
187 -0.0236 0.3257 -0.0071
188 -0.0229 0.3318 -0.0134
189 -0.0244 0.3282 -0.0139
190 -0.0295 0.3304 -0.0103
191 -0.0241 0.3304 -0.0146
192 -0.0270 0.3323 -0.0115
193 -0.0261 0.3277 -0.0110
194 -0.0251 0.3292 -0.0117
195 -0.0244 0.3311 -0.0093
196 -0.0226 0.3294 -0.0144
197 -0.0239 0.3284 -0.0159
198 -0.0241 0.3289 -0.0161
199 -0.0226 0.3294 -0.0117
200 -0.0246 0.3323 -0.0134
201 -0.0212 0.3270 -0.0098
202 -0.0287 0.3240 0.0193
203 -0.0222 0.3272 -0.0144
204 -0.0290 0.3277 -0.0210
205 -0.0278 0.3245 -0.0088
206 -0.0204 0.3299 -0.0017
207 -0.0258 0.3226 -0.0190
208 -0.0290 0.3304 -0.0168
209 -0.0185 0.3289 -0.0093
210 -0.0226 0.3284 -0.0073
211 -0.0275 0.3262 -0.0022
212 -0.0217 0.3277 -0.0117
213 -0.0266 0.3287 -0.0110
214 -0.0239 0.3267 -0.0161
215 -0.0202 0.3275 -0.0154
216 -0.0268 0.3314 -0.0081
217 -0.0226 0.3284 -0.0173
218 -0.0253 0.3299 -0.0139
219 -0.0266 0.3284 -0.0088
220 -0.0231 0.3277 -0.0090
221 -0.0261 0.3238 -0.0093
222 -0.0261 0.3316 -0.0105
223 -0.0234 0.3255 -0.0151
224 -0.0226 0.3311 -0.0103
225 -0.0273 0.3314 -0.0039
226 -0.0231 0.3243 -0.0168
227 -0.0236 0.3272 -0.0073
